X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
"Spinal cord lesion at neck level: treated; COPD and other chronic respiratory disease: severe";"Stroke: long-term consequences, severe plus cognition problems; Diabetic neuropathy";"Dementia: mild; Asthma: controlled";"Motor impairment: moderate; Musculoskeletal problems, legs: mild";"Cancer: diagnosis and primary therapy; Asthma: controlled";"Dementia: moderate; Distance vision: moderate impairment";"Hearing loss: complete; Asthma: partially controlled";"COPD and other chronic respiratory disease: severe; Parkinson's disease: moderate";"COPD and other chronic respiratory disease: severe; Anemia: moderate";"Hearing loss: complete; Distance vision: moderate impairment";"Anemia: moderate; Musculoskeletal problems, legs: mild";"Cancer: diagnosis and primary therapy; Diabetic neuropathy";"Multiple sclerosis: severe; Angina pectoris: moderate";"Diabetic neuropathy; Stroke: long-term consequences, severe plus cognition problems";"Parkinson's disease: moderate; Angina pectoris: moderate"
"Asthma: controlled; Decompensated cirrhosis of the liver";"Decompensated cirrhosis of the liver; Anxiety disorders: severe";"Acute myocardial infarction: days 3-28; COPD and other chronic respiratory disease: severe";"Hearing loss: complete; Dementia: mild";"Asthma: controlled; Cancer: diagnosis and primary therapy";"Asthma: controlled; Distance vision: severe impairment";"Distance vision: severe impairment; Stroke: long-term consequences, severe plus cognition problems";"Stroke: long-term consequences, moderate; COPD and other chronic respiratory disease: severe";"Diabetic neuropathy; Motor impairment: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Multiple sclerosis: severe";"Musculoskeletal problems, legs: mild; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Stroke: long-term consequences, severe plus cognition problems";"Anxiety disorders: severe; Decompensated cirrhosis of the liver";"Cancer: diagnosis and primary therapy; Major depressive disorder: moderate episode"
"Hearing loss: moderate; Motor impairment: moderate";"Angina pectoris: moderate; Motor impairment: moderate";"Musculoskeletal problems, legs: mild; Dementia: mild";"Decompensated cirrhosis of the liver; Parkinson's disease: moderate";"Stroke: long-term consequences, moderate; Cancer: diagnosis and primary therapy";"Dementia: mild; Spinal cord lesion at neck level: treated";"Musculoskeletal problems, legs: mild; Cancer: diagnosis and primary therapy";"Diabetic neuropathy; Anxiety disorders: moderate";"Diabetic neuropathy; Decompensated cirrhosis of the liver";"Anxiety disorders: moderate; Motor impairment: moderate";"Multiple sclerosis: severe; Stroke: long-term consequences, severe plus cognition problems";"Major depressive disorder: moderate episode; COPD and other chronic respiratory disease: severe";"Motor impairment: moderate; Parkinson's disease: moderate";"Motor impairment: moderate; Angina pectoris: moderate";"Asthma: controlled; Hearing loss: moderate"
"Anxiety disorders: severe; Hearing loss: complete";"Decompensated cirrhosis of the liver; Hearing loss: complete";"COPD and other chronic respiratory disease: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Cancer: diagnosis and primary therapy; Angina pectoris: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Hearing loss: moderate";"Decompensated cirrhosis of the liver; Asthma: controlled";"Motor impairment: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Motor impairment: moderate; Asthma: controlled";"Spinal cord lesion at neck level: treated; Distance vision: moderate impairment";"Acute myocardial infarction: days 3-28; COPD and other chronic respiratory disease: mild";"Cancer: diagnosis and primary therapy; Hearing loss: moderate";"Distance vision: severe impairment; Asthma: partially controlled";"Multiple sclerosis: severe; Motor impairment: moderate";"Hearing loss: complete; Decompensated cirrhosis of the liver";"Anxiety disorders: moderate; Anemia: moderate"
"Stroke: long-term consequences, moderate; Cancer: diagnosis and primary therapy";"Acute myocardial infarction: days 3-28; Major depressive disorder: moderate episode";"Anemia: moderate; Decompensated cirrhosis of the liver";"Dementia: mild; Anxiety disorders: severe";"Motor impairment: moderate; COPD and other chronic respiratory disease: severe";"Stroke: long-term consequences, moderate; Multiple sclerosis: severe";"Musculoskeletal problems, legs: mild; Major depressive disorder: moderate episode";"Musculoskeletal problems, legs: mild; Motor impairment: moderate";"Angina pectoris: moderate; Anxiety disorders: severe";"Stroke: long-term consequences, severe plus cognition problems; Spinal cord lesion at neck level: treated";"Acute myocardial infarction: days 3-28; Motor impairment: moderate";"Asthma: partially controlled; Motor impairment: moderate";"Diabetic neuropathy; Distance vision: severe impairment";"Major depressive disorder: moderate episode; Acute myocardial infarction: days 3-28";"Asthma: partially controlled; COPD and other chronic respiratory disease: mild"
"Acute myocardial infarction: days 3-28; Anxiety disorders: severe";"Distance vision: moderate impairment; Acute myocardial infarction: days 3-28";"Acute myocardial infarction: days 3-28; Dementia: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: severe impairment";"Anemia: moderate; Major depressive disorder: moderate episode";"Hearing loss: complete; Anxiety disorders: severe";"Hearing loss: complete; Anemia: moderate";"Anxiety disorders: severe; Multiple sclerosis: severe";"Hearing loss: moderate; COPD and other chronic respiratory disease: severe";"Asthma: controlled; Dementia: moderate";"Acute myocardial infarction: days 3-28; Stroke: long-term consequences, severe plus cognition problems";"Anxiety disorders: severe; Stroke: long-term consequences, severe plus cognition problems";"Diabetic neuropathy; Amputation of finger(s), excluding thumb: long term, with treatment";"Acute myocardial infarction: days 3-28; Distance vision: moderate impairment";"Amputation of finger(s), excluding thumb: long term, with treatment; COPD and other chronic respiratory disease: severe"
"Angina pectoris: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Distance vision: moderate impairment; Anxiety disorders: moderate";"Diabetic neuropathy; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Musculoskeletal problems, legs: mild";"Motor impairment: moderate; Anxiety disorders: severe";"Asthma: partially controlled; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Hearing loss: moderate; Diabetic neuropathy";"Stroke: long-term consequences, moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: partially controlled; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; Multiple sclerosis: severe";"Dementia: mild; Cancer: diagnosis and primary therapy";"Distance vision: severe impairment; Parkinson's disease: moderate";"Anemia: moderate; Spinal cord lesion at neck level: treated";"Anxiety disorders: moderate; Distance vision: moderate impairment";"Dementia: mild; Distance vision: severe impairment"
"Musculoskeletal problems, legs: mild; Parkinson's disease: moderate";"Dementia: mild; Major depressive disorder: moderate episode";"Amputation of finger(s), excluding thumb: long term, with treatment; Cancer: diagnosis and primary therapy";"Asthma: partially controlled; COPD and other chronic respiratory disease: severe";"Cancer: diagnosis and primary therapy; Parkinson's disease: moderate";"Stroke: long-term consequences, moderate; Multiple sclerosis: severe";"Parkinson's disease: moderate; Stroke: long-term consequences, severe plus cognition problems";"COPD and other chronic respiratory disease: mild; Major depressive disorder: moderate episode";"Cancer: diagnosis and primary therapy; Spinal cord lesion at neck level: treated";"Distance vision: moderate impairment; Spinal cord lesion at neck level: treated";"Distance vision: moderate impairment; Diabetic neuropathy";"Asthma: controlled; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Major depressive disorder: moderate episode; Dementia: mild";"Diabetic neuropathy; Anxiety disorders: severe"
"Dementia: mild; Anxiety disorders: moderate";"Decompensated cirrhosis of the liver; Parkinson's disease: moderate";"Acute myocardial infarction: days 3-28; Stroke: long-term consequences, moderate";"Asthma: controlled; Hearing loss: complete";"Hearing loss: complete; Dementia: moderate";"Anemia: moderate; Major depressive disorder: moderate episode";"Asthma: controlled; Hearing loss: moderate";"Anxiety disorders: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: controlled; Stroke: long-term consequences, severe plus cognition problems";"Major depressive disorder: moderate episode; Multiple sclerosis: severe";"Hearing loss: moderate; Stroke: long-term consequences, severe plus cognition problems";"Anemia: moderate; Anxiety disorders: severe";"Asthma: partially controlled; Musculoskeletal problems, legs: mild";"Parkinson's disease: moderate; Decompensated cirrhosis of the liver";"Diabetic neuropathy; Distance vision: severe impairment"
"Diabetic neuropathy; Stroke: long-term consequences, moderate";"Dementia: mild; Multiple sclerosis: severe";"Musculoskeletal problems, legs: mild; Major depressive disorder: moderate episode";"Asthma: partially controlled; Dementia: moderate";"Anxiety disorders: moderate; Major depressive disorder: moderate episode";"Cancer: diagnosis and primary therapy; Parkinson's disease: moderate";"Stroke: long-term consequences, moderate; Distance vision: severe impairment";"Acute myocardial infarction: days 3-28; Parkinson's disease: moderate";"Hearing loss: complete; Acute myocardial infarction: days 3-28";"Dementia: mild; Anxiety disorders: moderate";"Dementia: moderate; Spinal cord lesion at neck level: treated";"Anemia: moderate; Parkinson's disease: moderate";"Cancer: diagnosis and primary therapy; Distance vision: severe impairment";"Multiple sclerosis: severe; Dementia: mild";"Musculoskeletal problems, legs: mild; Anxiety disorders: moderate"
"Multiple sclerosis: severe; Anemia: moderate";"Dementia: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Distance vision: severe impairment; Asthma: partially controlled";"Stroke: long-term consequences, severe plus cognition problems; Angina pectoris: moderate";"Distance vision: severe impairment; Diabetic neuropathy";"COPD and other chronic respiratory disease: mild; Hearing loss: moderate";"Stroke: long-term consequences, moderate; Distance vision: moderate impairment";"Cancer: diagnosis and primary therapy; Motor impairment: moderate";"Multiple sclerosis: severe; Distance vision: severe impairment";"Spinal cord lesion at neck level: treated; Anxiety disorders: severe";"Spinal cord lesion at neck level: treated; Distance vision: moderate impairment";"Acute myocardial infarction: days 3-28; Musculoskeletal problems, legs: mild";"Angina pectoris: moderate; Hearing loss: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Dementia: moderate";"Stroke: long-term consequences, severe plus cognition problems; Amputation of finger(s), excluding thumb: long term, with treatment"
"Angina pectoris: moderate; COPD and other chronic respiratory disease: severe";"Anxiety disorders: severe; COPD and other chronic respiratory disease: severe";"Musculoskeletal problems, legs: mild; Cancer: diagnosis and primary therapy";"Cancer: diagnosis and primary therapy; Parkinson's disease: moderate";"Angina pectoris: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: mild; Anemia: moderate";"Hearing loss: complete; Amputation of finger(s), excluding thumb: long term, with treatment";"Angina pectoris: moderate; Distance vision: severe impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Decompensated cirrhosis of the liver";"Angina pectoris: moderate; Motor impairment: moderate";"Dementia: mild; Stroke: long-term consequences, moderate";"Asthma: partially controlled; Stroke: long-term consequences, severe plus cognition problems";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Stroke: long-term consequences, severe plus cognition problems";"COPD and other chronic respiratory disease: severe; Anxiety disorders: severe";"Hearing loss: complete; Spinal cord lesion at neck level: treated"
"Hearing loss: complete; Anxiety disorders: severe";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Parkinson's disease: moderate";"Asthma: controlled; Anxiety disorders: severe";"Cancer: diagnosis and primary therapy; Spinal cord lesion at neck level: treated";"Diabetic neuropathy; Distance vision: severe impairment";"Anemia: moderate; Cancer: diagnosis and primary therapy";"Dementia: mild; Anxiety disorders: severe";"Asthma: controlled; COPD and other chronic respiratory disease: mild";"Angina pectoris: moderate; Acute myocardial infarction: days 3-28";"Anemia: moderate; Spinal cord lesion at neck level: treated";"Hearing loss: complete; Parkinson's disease: moderate";"Hearing loss: moderate; Spinal cord lesion at neck level: treated";"Anxiety disorders: moderate; Stroke: long-term consequences, moderate";"Parkinson's disease: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Diabetic neuropathy; Stroke: long-term consequences, moderate"
"Stroke: long-term consequences, moderate; Cancer: diagnosis and primary therapy";"Asthma: partially controlled; Spinal cord lesion at neck level: treated";"Musculoskeletal problems, legs: mild; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: controlled; Cancer: diagnosis and primary therapy";"Dementia: mild; Anxiety disorders: moderate";"Musculoskeletal problems, legs: mild; Decompensated cirrhosis of the liver";"Diabetic neuropathy; Dementia: moderate";"Anxiety disorders: moderate; Decompensated cirrhosis of the liver";"Stroke: long-term consequences, moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Hearing loss: complete; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Decompensated cirrhosis of the liver";"Musculoskeletal problems, legs: mild; Spinal cord lesion at neck level: treated";"Angina pectoris: moderate; Stroke: long-term consequences, severe plus cognition problems";"Spinal cord lesion at neck level: treated; Asthma: partially controlled";"Anemia: moderate; Amputation of finger(s), excluding thumb: long term, with treatment"
"Musculoskeletal problems, legs: mild; Cancer: diagnosis and primary therapy";"COPD and other chronic respiratory disease: mild; Stroke: long-term consequences, moderate";"Hearing loss: complete; Multiple sclerosis: severe";"Anemia: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Hearing loss: moderate; Major depressive disorder: moderate episode";"Acute myocardial infarction: days 3-28; Multiple sclerosis: severe";"Distance vision: moderate impairment; Angina pectoris: moderate";"Hearing loss: complete; Spinal cord lesion at neck level: treated";"Hearing loss: moderate; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: mild; Major depressive disorder: moderate episode";"Asthma: controlled; COPD and other chronic respiratory disease: mild";"Dementia: moderate; Spinal cord lesion at neck level: treated";"Distance vision: severe impairment; Parkinson's disease: moderate";"Stroke: long-term consequences, moderate; COPD and other chronic respiratory disease: mild";"Diabetic neuropathy; Multiple sclerosis: severe"
"Asthma: partially controlled; Motor impairment: moderate";"COPD and other chronic respiratory disease: mild; Decompensated cirrhosis of the liver";"Distance vision: moderate impairment; Stroke: long-term consequences, severe plus cognition problems";"COPD and other chronic respiratory disease: mild; Anxiety disorders: severe";"Distance vision: moderate impairment; Musculoskeletal problems, legs: mild";"Musculoskeletal problems, legs: mild; Dementia: mild";"Musculoskeletal problems, legs: mild; Distance vision: severe impairment";"Asthma: partially controlled; Acute myocardial infarction: days 3-28";"Hearing loss: moderate; COPD and other chronic respiratory disease: mild";"Stroke: long-term consequences, moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Multiple sclerosis: severe";"Distance vision: severe impairment; Anxiety disorders: severe";"Dementia: mild; Stroke: long-term consequences, severe plus cognition problems";"Decompensated cirrhosis of the liver; COPD and other chronic respiratory disease: mild";"Angina pectoris: moderate; COPD and other chronic respiratory disease: severe"
"Motor impairment: moderate; Decompensated cirrhosis of the liver";"Distance vision: moderate impairment; Anemia: moderate";"Asthma: controlled; Anemia: moderate";"Musculoskeletal problems, legs: mild; Amputation of finger(s), excluding thumb: long term, with treatment";"COPD and other chronic respiratory disease: severe; Spinal cord lesion at neck level: treated";"Hearing loss: moderate; Dementia: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: severe impairment";"Musculoskeletal problems, legs: mild; Motor impairment: moderate";"Musculoskeletal problems, legs: mild; Parkinson's disease: moderate";"Hearing loss: complete; Anxiety disorders: moderate";"Dementia: moderate; Spinal cord lesion at neck level: treated";"Hearing loss: moderate; Anxiety disorders: moderate";"Hearing loss: complete; Decompensated cirrhosis of the liver";"Anemia: moderate; Distance vision: moderate impairment";"Hearing loss: moderate; Hearing loss: complete"
"Diabetic neuropathy; Distance vision: moderate impairment";"Cancer: diagnosis and primary therapy; Angina pectoris: moderate";"COPD and other chronic respiratory disease: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"Stroke: long-term consequences, severe plus cognition problems; Diabetic neuropathy";"Multiple sclerosis: severe; Hearing loss: moderate";"Angina pectoris: moderate; Asthma: partially controlled";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Hearing loss: complete";"Decompensated cirrhosis of the liver; Angina pectoris: moderate";"Decompensated cirrhosis of the liver; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Stroke: long-term consequences, moderate; Hearing loss: complete";"Diabetic neuropathy; Asthma: partially controlled";"Major depressive disorder: moderate episode; Diabetic neuropathy";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anxiety disorders: moderate";"Angina pectoris: moderate; Cancer: diagnosis and primary therapy";"Stroke: long-term consequences, moderate; Anemia: moderate"
"Dementia: mild; Stroke: long-term consequences, severe plus cognition problems";"COPD and other chronic respiratory disease: mild; Decompensated cirrhosis of the liver";"Angina pectoris: moderate; Motor impairment: moderate";"Anxiety disorders: moderate; Major depressive disorder: moderate episode";"Parkinson's disease: moderate; Stroke: long-term consequences, severe plus cognition problems";"Asthma: partially controlled; Diabetic neuropathy";"COPD and other chronic respiratory disease: mild; Distance vision: moderate impairment";"Diabetic neuropathy; Major depressive disorder: moderate episode";"Asthma: partially controlled; Hearing loss: complete";"Musculoskeletal problems, legs: mild; Multiple sclerosis: severe";"Distance vision: severe impairment; COPD and other chronic respiratory disease: severe";"Anemia: moderate; Spinal cord lesion at neck level: treated";"Distance vision: moderate impairment; Multiple sclerosis: severe";"Decompensated cirrhosis of the liver; COPD and other chronic respiratory disease: mild";"Distance vision: severe impairment; Multiple sclerosis: severe"
"Anemia: moderate; Dementia: moderate";"Stroke: long-term consequences, moderate; Distance vision: severe impairment";"Hearing loss: complete; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: controlled; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: mild; Cancer: diagnosis and primary therapy";"Stroke: long-term consequences, severe plus cognition problems; Spinal cord lesion at neck level: treated";"COPD and other chronic respiratory disease: mild; Multiple sclerosis: severe";"Anemia: moderate; Spinal cord lesion at neck level: treated";"Musculoskeletal problems, legs: mild; Dementia: moderate";"Hearing loss: complete; Stroke: long-term consequences, severe plus cognition problems";"Angina pectoris: moderate; Stroke: long-term consequences, moderate";"Diabetic neuropathy; Cancer: diagnosis and primary therapy";"Distance vision: moderate impairment; Anxiety disorders: severe";"Distance vision: severe impairment; Stroke: long-term consequences, moderate";"Dementia: mild; Major depressive disorder: moderate episode"
"Stroke: long-term consequences, severe plus cognition problems; Musculoskeletal problems, legs: mild";"Anemia: moderate; Hearing loss: complete";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Angina pectoris: moderate";"Multiple sclerosis: severe; Distance vision: severe impairment";"Stroke: long-term consequences, moderate; Anemia: moderate";"Spinal cord lesion at neck level: treated; Motor impairment: moderate";"Major depressive disorder: moderate episode; Angina pectoris: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Dementia: mild";"Parkinson's disease: moderate; Distance vision: moderate impairment";"Anxiety disorders: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anxiety disorders: moderate; Hearing loss: complete";"Parkinson's disease: moderate; Anxiety disorders: moderate";"Dementia: mild; Musculoskeletal problems, legs: mild";"Hearing loss: complete; Anemia: moderate";"Multiple sclerosis: severe; Cancer: diagnosis and primary therapy"
"Anemia: moderate; Distance vision: severe impairment";"Dementia: mild; Parkinson's disease: moderate";"Anemia: moderate; Cancer: diagnosis and primary therapy";"Acute myocardial infarction: days 3-28; Spinal cord lesion at neck level: treated";"Motor impairment: moderate; Spinal cord lesion at neck level: treated";"Musculoskeletal problems, legs: mild; Stroke: long-term consequences, severe plus cognition problems";"Asthma: partially controlled; Dementia: moderate";"Hearing loss: moderate; Diabetic neuropathy";"Distance vision: moderate impairment; Major depressive disorder: moderate episode";"Dementia: mild; Major depressive disorder: moderate episode";"Asthma: controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: partially controlled; Diabetic neuropathy";"Hearing loss: moderate; COPD and other chronic respiratory disease: mild";"Parkinson's disease: moderate; Dementia: mild";"Musculoskeletal problems, legs: mild; Amputation of finger(s), excluding thumb: long term, with treatment"
"Asthma: partially controlled; Distance vision: severe impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Dementia: moderate";"Hearing loss: complete; Motor impairment: moderate";"Distance vision: moderate impairment; Spinal cord lesion at neck level: treated";"Angina pectoris: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Musculoskeletal problems, legs: mild; Acute myocardial infarction: days 3-28";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anxiety disorders: severe";"Anxiety disorders: moderate; Parkinson's disease: moderate";"COPD and other chronic respiratory disease: mild; Parkinson's disease: moderate";"Motor impairment: moderate; Decompensated cirrhosis of the liver";"Parkinson's disease: moderate; Multiple sclerosis: severe";"Angina pectoris: moderate; Spinal cord lesion at neck level: treated";"Acute myocardial infarction: days 3-28; Anxiety disorders: severe";"Dementia: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Diabetic neuropathy"
"Hearing loss: complete; Multiple sclerosis: severe";"Angina pectoris: moderate; Diabetic neuropathy";"COPD and other chronic respiratory disease: mild; Diabetic neuropathy";"Hearing loss: complete; Motor impairment: moderate";"Musculoskeletal problems, legs: mild; Distance vision: severe impairment";"Stroke: long-term consequences, moderate; Cancer: diagnosis and primary therapy";"Anxiety disorders: severe; Dementia: moderate";"Motor impairment: moderate; Multiple sclerosis: severe";"Dementia: mild; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Anemia: moderate";"Angina pectoris: moderate; Stroke: long-term consequences, moderate";"Asthma: partially controlled; Decompensated cirrhosis of the liver";"Asthma: partially controlled; Motor impairment: moderate";"Diabetic neuropathy; Angina pectoris: moderate";"Hearing loss: moderate; Dementia: moderate"
"Amputation of finger(s), excluding thumb: long term, with treatment; Anemia: moderate";"Hearing loss: complete; Asthma: controlled";"Anxiety disorders: severe; Distance vision: severe impairment";"Parkinson's disease: moderate; Anemia: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Stroke: long-term consequences, moderate";"Anxiety disorders: severe; Hearing loss: moderate";"Parkinson's disease: moderate; Diabetic neuropathy";"Distance vision: severe impairment; COPD and other chronic respiratory disease: mild";"Parkinson's disease: moderate; Acute myocardial infarction: days 3-28";"Stroke: long-term consequences, moderate; Anemia: moderate";"Stroke: long-term consequences, severe plus cognition problems; Cancer: diagnosis and primary therapy";"Stroke: long-term consequences, severe plus cognition problems; Parkinson's disease: moderate";"Major depressive disorder: moderate episode; Diabetic neuropathy";"Asthma: controlled; Hearing loss: complete";"Parkinson's disease: moderate; Distance vision: moderate impairment"
"Stroke: long-term consequences, severe plus cognition problems; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Hearing loss: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: mild; Anemia: moderate";"COPD and other chronic respiratory disease: mild; Decompensated cirrhosis of the liver";"Amputation of finger(s), excluding thumb: long term, with treatment; Acute myocardial infarction: days 3-28";"Diabetic neuropathy; Stroke: long-term consequences, moderate";"Cancer: diagnosis and primary therapy; Major depressive disorder: moderate episode";"COPD and other chronic respiratory disease: mild; Dementia: moderate";"COPD and other chronic respiratory disease: mild; Motor impairment: moderate";"COPD and other chronic respiratory disease: mild; Diabetic neuropathy";"Acute myocardial infarction: days 3-28; Dementia: moderate";"Stroke: long-term consequences, moderate; Major depressive disorder: moderate episode";"Amputation of finger(s), excluding thumb: long term, with treatment; Asthma: partially controlled";"Asthma: controlled; COPD and other chronic respiratory disease: severe"
"Cancer: diagnosis and primary therapy; Hearing loss: complete";"Decompensated cirrhosis of the liver; Asthma: controlled";"Angina pectoris: moderate; Asthma: controlled";"Dementia: moderate; Hearing loss: complete";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Hearing loss: moderate";"Acute myocardial infarction: days 3-28; Angina pectoris: moderate";"COPD and other chronic respiratory disease: severe; COPD and other chronic respiratory disease: mild";"Parkinson's disease: moderate; Anxiety disorders: moderate";"Multiple sclerosis: severe; Cancer: diagnosis and primary therapy";"Anxiety disorders: severe; Distance vision: severe impairment";"Stroke: long-term consequences, moderate; Musculoskeletal problems, legs: mild";"Hearing loss: complete; Angina pectoris: moderate";"Major depressive disorder: moderate episode; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Decompensated cirrhosis of the liver";"Anxiety disorders: severe; Cancer: diagnosis and primary therapy"
"Angina pectoris: moderate; Major depressive disorder: moderate episode";"Angina pectoris: moderate; Hearing loss: complete";"Diabetic neuropathy; Dementia: mild";"Anxiety disorders: moderate; Cancer: diagnosis and primary therapy";"Amputation of finger(s), excluding thumb: long term, with treatment; Spinal cord lesion at neck level: treated";"COPD and other chronic respiratory disease: mild; Musculoskeletal problems, legs: mild";"Anemia: moderate; COPD and other chronic respiratory disease: severe";"Anemia: moderate; Parkinson's disease: moderate";"Dementia: mild; Anxiety disorders: severe";"Major depressive disorder: moderate episode; Distance vision: severe impairment";"Hearing loss: complete; Diabetic neuropathy";"Distance vision: moderate impairment; Spinal cord lesion at neck level: treated";"Anxiety disorders: moderate; Decompensated cirrhosis of the liver";"Hearing loss: complete; Angina pectoris: moderate";"Asthma: controlled; Dementia: moderate"
"Angina pectoris: moderate; Diabetic neuropathy";"Acute myocardial infarction: days 3-28; Spinal cord lesion at neck level: treated";"Hearing loss: complete; Cancer: diagnosis and primary therapy";"Musculoskeletal problems, legs: mild; Anxiety disorders: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Motor impairment: moderate";"Hearing loss: moderate; Diabetic neuropathy";"Anxiety disorders: severe; Dementia: moderate";"Major depressive disorder: moderate episode; Decompensated cirrhosis of the liver";"Diabetic neuropathy; Anxiety disorders: severe";"Distance vision: severe impairment; Spinal cord lesion at neck level: treated";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Multiple sclerosis: severe";"Parkinson's disease: moderate; Spinal cord lesion at neck level: treated";"Dementia: moderate; Spinal cord lesion at neck level: treated";"Spinal cord lesion at neck level: treated; Acute myocardial infarction: days 3-28";"Anemia: moderate; Anxiety disorders: moderate"
"Dementia: mild; Major depressive disorder: moderate episode";"Hearing loss: moderate; Anxiety disorders: severe";"Asthma: controlled; Diabetic neuropathy";"Asthma: partially controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Hearing loss: complete; Anxiety disorders: moderate";"Angina pectoris: moderate; Motor impairment: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Spinal cord lesion at neck level: treated";"Motor impairment: moderate; COPD and other chronic respiratory disease: severe";"Anxiety disorders: moderate; Acute myocardial infarction: days 3-28";"Motor impairment: moderate; Dementia: moderate";"Parkinson's disease: moderate; Anxiety disorders: severe";"Musculoskeletal problems, legs: mild; Anxiety disorders: moderate";"Angina pectoris: moderate; Distance vision: severe impairment";"Anxiety disorders: severe; Hearing loss: moderate";"Dementia: mild; Amputation of finger(s), excluding thumb: long term, with treatment"
"Parkinson's disease: moderate; Asthma: controlled";"COPD and other chronic respiratory disease: severe; Asthma: partially controlled";"Amputation of finger(s), excluding thumb: long term, with treatment; Anemia: moderate";"Distance vision: severe impairment; Anemia: moderate";"COPD and other chronic respiratory disease: severe; Motor impairment: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Diabetic neuropathy";"Diabetic neuropathy; Angina pectoris: moderate";"Distance vision: moderate impairment; Hearing loss: moderate";"Distance vision: severe impairment; Diabetic neuropathy";"Cancer: diagnosis and primary therapy; Hearing loss: complete";"Distance vision: severe impairment; COPD and other chronic respiratory disease: mild";"Anxiety disorders: moderate; Musculoskeletal problems, legs: mild";"Parkinson's disease: moderate; COPD and other chronic respiratory disease: mild";"Asthma: partially controlled; COPD and other chronic respiratory disease: severe";"Motor impairment: moderate; Stroke: long-term consequences, moderate"
